date,JPMorgan Chase,Bank of America,Citigroup,Goldman Sachs,Morgan Stanley,Wells Fargo,Bank of New York Mellon,State Street,Royal Bank of Canada,Toronto-Dominion Bank,HSBC,Barclays,Standard Chartered,BNP Paribas,Credit Agricole,Societe Generale,Deutsche Bank,ING Groep,Banco Santander,UBS Group,Mitsubishi UFJ Financial Group,Sumitomo Mitsui Financial Group,Mizuho Financial Group,Industrial and Commercial Bank of China,China Construction Bank,Bank of China,Agricultural Bank of China,Bank of Communications,aggregate_book_leverage
2008-11-28,,,,13.741817,,,,,,,,,,,,,,,,,,,,,,,,,13.741817
2008-11-30,,,,13.741817,12.965218,,,,,,,,,,,,,,,,,,,,,,,,13.399149
2008-12-31,13.033317,,13.686860,,13.881484,13.217462,9.401203,13.592532,,,,,,,,,,,,,,,,,,,,,13.169929
2009-03-31,,,,,,,,,,,,,,,,,,,,,31.034912,,,,,,,,31.034912
2009-06-26,,,,14.161782,,,,,,,,,,,,,,,,,,,,,,,,,14.161782
2009-06-30,13.094879,8.835494,,,14.531340,11.203476,7.442880,12.676279,,,,,,,,,,,,,,,,,,,,,10.808415
2009-09-25,,,,13.498562,,,,,,,,,,,,,,,,,,,,,,,,,13.498562
2009-09-30,12.579176,8.735706,13.409345,,16.602365,10.058330,7.492737,12.148586,,,,,,,,,,,,,,,,,,,,,11.094591
2009-12-31,13.178358,10.070129,12.158782,12.005289,16.523775,11.125239,7.323878,10.899593,,,,,,,,,,,,,,,,,,,,,11.669135
2010-03-31,12.966143,10.176092,13.222822,12.071288,16.984067,10.535637,7.430213,9.991629,,,,,,,,,,,,,22.564939,,,,,,,,12.905424
2010-06-30,11.769629,10.157153,12.516672,11.964237,15.867642,10.234963,7.754079,10.092472,,,,,,,,,,,,,,,,,,,,,11.334742
2010-09-30,12.320054,10.150589,12.173860,12.010508,14.793094,9.872261,7.904612,9.844840,,,,,,,,,,,,,,,,,,,,,11.295287
2010-12-31,12.024604,9.923018,11.708114,11.781012,14.117879,9.952914,7.642301,9.023725,,,,,,,,,,,,,,,,,,,,,11.014813
2011-03-31,12.171569,9.851747,11.388267,12.878458,14.370897,9.325367,8.011426,8.957039,,,,,,,,,,,,,24.335121,,44.095896,,,,,,13.666058
2011-06-30,12.285522,10.178053,11.094248,12.948615,13.913729,9.235519,9.001388,9.602450,,,,,,,,,,,,,,,,,,,,,11.053137
2011-09-30,12.558438,9.639994,10.914868,13.538823,12.857265,9.472047,9.561864,10.625159,,,,,,,,,,,,,,,,,,,,,10.980595
