bank,ticker,country,region,included_market_leverage,included_book_leverage,first_market_date,last_market_date,book_observations,market_observations,shares_source,balance_sheet_source,note
JPMorgan Chase,JPM,United States,North America,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
Bank of America,BAC,United States,North America,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
Citigroup,C,United States,North America,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
Goldman Sachs,GS,United States,North America,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
Morgan Stanley,MS,United States,North America,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
Wells Fargo,WFC,United States,North America,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
Bank of New York Mellon,BK,United States,North America,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
State Street,STT,United States,North America,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
Royal Bank of Canada,RY.TO,Canada,North America,True,True,2025-04-30,2026-06-29,5,292,cached_yfinance,yfinance,
Toronto-Dominion Bank,TD.TO,Canada,North America,True,True,2025-04-30,2026-06-29,5,292,cached_yfinance,yfinance,
HSBC,HSBA.L,United Kingdom,Europe,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
Barclays,BARC.L,United Kingdom,Europe,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
Standard Chartered,STAN.L,United Kingdom,Europe,True,True,2024-12-31,2026-06-29,5,373,cached_yfinance,yfinance,
BNP Paribas,BNP.PA,France,Europe,True,True,2024-12-31,2026-06-29,5,373,cached_yfinance,yfinance,
Credit Agricole,ACA.PA,France,Europe,True,True,2024-12-31,2026-06-29,5,373,cached_yfinance,yfinance,
Societe Generale,GLE.PA,France,Europe,True,True,2024-12-31,2026-06-29,5,373,cached_yfinance,yfinance,
Deutsche Bank,DBK.DE,Germany,Europe,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
ING Groep,INGA.AS,Netherlands,Europe,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
Banco Santander,SAN.MC,Spain,Europe,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
UBS Group,UBSG.SW,Switzerland,Europe,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
Mitsubishi UFJ Financial Group,8306.T,Japan,Asia,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
Sumitomo Mitsui Financial Group,8316.T,Japan,Asia,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
Mizuho Financial Group,8411.T,Japan,Asia,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
Industrial and Commercial Bank of China,1398.HK,China,Asia,True,True,2024-12-31,2026-06-29,5,373,cached_yfinance,yfinance,
China Construction Bank,0939.HK,China,Asia,True,True,2024-12-31,2026-06-29,5,373,cached_yfinance,yfinance,
Bank of China,3988.HK,China,Asia,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
Agricultural Bank of China,1288.HK,China,Asia,True,True,2025-03-31,2026-06-29,5,313,cached_yfinance,yfinance,
Bank of Communications,3328.HK,China,Asia,True,True,2024-12-31,2026-06-29,5,373,cached_yfinance,yfinance,
Groupe BPCE,,France,Europe,False,False,,,0,0,,,Excluded because the group is not publicly listed.
Credit Mutuel,,France,Europe,False,False,,,0,0,,,Excluded because the group is not publicly listed.
