date,Lev_Agg,Agg_Factor,GIV_PCA_Factor,Cumulative_GIV_PCA
2021-12-31,18.543559,,,
2022-01-03,18.197117,-0.339403,0.000954,0.000954
2022-01-04,17.664035,-0.526070,-0.074256,-0.073302
2022-01-05,17.767756,0.110690,-0.010241,-0.083543
2022-01-06,17.580220,-0.180559,-0.007298,-0.090841
2022-01-07,17.351202,-0.222055,-0.032463,-0.123304
2022-01-10,17.309818,-0.034440,-0.045922,-0.169226
2022-01-11,17.186586,-0.116292,0.007209,-0.162017
2022-01-12,17.189621,0.009966,-0.013416,-0.175433
2022-01-13,17.150996,-0.031694,-0.059794,-0.235227
2022-01-14,17.397515,0.253447,0.027030,-0.208197
2022-01-18,17.770007,0.379439,0.008694,-0.199504
2022-01-19,17.906531,0.143502,-0.057308,-0.256812
2022-01-20,17.950978,0.051436,0.022978,-0.233834
2022-01-21,18.187737,0.243750,-0.020445,-0.254279
2022-01-24,18.316252,0.135527,0.037118,-0.217161
2022-01-25,18.174917,-0.134314,-0.051086,-0.268247
2022-01-26,18.023038,-0.144869,-0.007329,-0.275576
2022-01-27,18.025544,0.009504,-0.058621,-0.334197
2022-01-28,17.939203,-0.079343,0.023201,-0.310996
2022-01-31,17.870463,-0.061749,-0.009317,-0.320312
2022-02-01,17.571199,-0.292278,0.006996,-0.313316
2022-02-02,17.542211,-0.022026,0.014323,-0.298994
2022-02-03,17.646882,0.111630,-0.025835,-0.324829
2022-02-04,17.388525,-0.251389,-0.007030,-0.331859
2022-02-07,17.235437,-0.146141,-0.028671,-0.360530
2022-02-08,16.982235,-0.246267,0.011099,-0.349431
2022-02-09,16.915900,-0.059421,0.005688,-0.343743
2022-02-10,16.945707,0.036716,-0.015120,-0.358863
2022-02-11,17.080582,0.141787,-0.045118,-0.403981
2022-02-14,17.280178,0.206518,-0.004119,-0.408100
2022-02-15,17.230152,-0.043087,0.063380,-0.344720
2022-02-16,17.246173,0.022955,-0.012435,-0.357155
2022-02-17,17.655289,0.416051,-0.044585,-0.401740
2022-02-18,17.718276,0.069955,-0.026147,-0.427887
2022-02-22,17.814441,0.103138,-0.033527,-0.461414
2022-02-23,18.030803,0.223344,-0.054676,-0.516090
2022-02-24,18.572576,0.548771,0.076112,-0.439978
2022-02-25,18.157311,-0.408223,-0.002807,-0.442785
2022-02-28,18.558449,0.408147,-0.038155,-0.480940
2022-03-01,19.176871,0.625463,-0.044119,-0.525060
2022-03-02,18.937624,-0.232155,0.031360,-0.493700
2022-03-03,19.072166,0.141614,0.043718,-0.449982
2022-03-04,19.562124,0.497040,-0.003150,-0.453133
2022-03-07,20.176727,0.621725,0.010143,-0.442990
2022-03-08,20.204474,0.034918,0.010428,-0.432561
2022-03-09,19.530494,-0.666807,0.047736,-0.384825
2022-03-10,19.637183,0.113809,-0.024916,-0.409741
2022-03-11,19.721063,0.091008,-0.037425,-0.447166
2022-03-14,19.458865,-0.255063,0.001880,-0.445286
2022-03-15,19.386447,-0.065305,0.085508,-0.359778
2022-03-16,18.853346,-0.525993,0.024560,-0.335218
