date,initial_leverage,common_factor_change,idiosyncratic_change,common_factor_component,idiosyncratic_component,market_leverage,reconstructed_market_leverage,reconstruction_error,common_factor_index,idiosyncratic_component_index,n_banks
2008-12-31,26.16177426,0.00000000,0.00000000,0.00000000,0.00000000,26.16177426,26.16177426,0.00000000,0.00000000,0.00000000,15
2009-01-02,26.16177426,-1.13363440,-0.07779598,-1.13363440,-0.07779598,24.95034388,24.95034388,0.00000000,-0.23540744,-0.08020217,15
2009-01-05,26.16177426,0.10127982,0.14545536,-1.03235459,0.06765938,25.19707906,25.19707906,0.00000000,-0.21437594,0.06975205,15
2009-01-06,26.16177426,-0.71338695,0.04521767,-1.74574154,0.11287705,24.52890977,24.52890977,-0.00000000,-0.36251594,0.11636828,15
2009-01-07,26.16177426,0.34309772,0.20311756,-1.40264381,0.31599461,25.07512506,25.07512506,0.00000000,-0.29126920,0.32576817,15
2009-01-08,26.16177426,0.14572643,0.21421606,-1.25691738,0.53021067,25.43506755,25.43506755,0.00000000,-0.26100804,0.54660983,15
2009-01-09,26.16177426,0.22941250,0.09529693,-1.02750488,0.62550759,25.75977698,25.75977698,-0.00000000,-0.21336887,0.64485424,15
2009-01-12,26.16177426,0.50889595,0.17682296,-0.51860893,0.80233055,26.44549588,26.44549588,0.00000000,-0.10769292,0.82714625,15
2009-01-13,26.16177426,0.04426105,-0.11716532,-0.47434789,0.68516523,26.37259161,26.37259161,0.00000000,-0.09850179,0.70635707,15
2009-01-14,26.16177426,2.04807634,-0.25081022,1.57372845,0.43435502,28.16985773,28.16985773,0.00000000,0.32679617,0.44778941,15
2009-01-15,26.16177426,1.41418917,0.13433422,2.98791762,0.56868924,29.71838112,29.71838112,0.00000000,0.62046284,0.58627853,15
2009-01-16,26.16177426,0.06243827,0.09290391,3.05035589,0.66159315,29.87372330,29.87372330,0.00000000,0.63342860,0.68205591,15
2009-01-20,26.16177426,6.16444984,-0.01172157,9.21480572,0.64987158,36.02645157,36.02645157,0.00000000,1.91352148,0.66997179,15
2009-01-21,26.16177426,-3.10247736,-0.16425525,6.11232836,0.48561633,32.75971895,32.75971895,0.00000000,1.26926948,0.50063621,15
2009-01-22,26.16177426,0.10196199,0.08217950,6.21429035,0.56779583,32.94386044,32.94386044,0.00000000,1.29044263,0.58535748,15
2009-01-23,26.16177426,0.47301242,-0.06748086,6.68730277,0.50031497,33.34939200,33.34939200,0.00000000,1.38866710,0.51578947,15
2009-01-26,26.16177426,-2.40032701,0.00802573,4.28697577,0.50834069,30.95709072,30.95709072,-0.00000000,0.89022172,0.52406342,15
2009-01-27,26.16177426,-0.52568896,-0.05036099,3.76128681,0.45797970,30.38104077,30.38104077,0.00000000,0.78105858,0.47214479,15
2009-01-28,26.16177426,-3.56316888,-0.03440753,0.19811793,0.42357217,26.78346436,26.78346436,-0.00000000,0.04114063,0.43667305,15
2009-01-29,26.16177426,0.93629359,-0.02755055,1.13441152,0.39602162,27.69220740,27.69220740,-0.00000000,0.23556881,0.40827037,15
2009-01-30,26.16177426,0.44956487,-0.12939128,1.58397639,0.26663034,28.01238099,28.01238099,-0.00000000,0.32892423,0.27487708,15
2009-02-02,26.16177426,0.98441878,0.12080146,2.56839518,0.38743180,29.11760124,29.11760124,0.00000000,0.53334595,0.39941488,15
