date,JPMorgan Chase,Bank of America,Citigroup,Goldman Sachs,Morgan Stanley,Wells Fargo,Bank of New York Mellon,State Street,Royal Bank of Canada,Toronto-Dominion Bank,HSBC,Barclays,Standard Chartered,BNP Paribas,Credit Agricole,Societe Generale,Deutsche Bank,ING Groep,Banco Santander,UBS Group,Mitsubishi UFJ Financial Group,Sumitomo Mitsui Financial Group,Mizuho Financial Group,Industrial and Commercial Bank of China,China Construction Bank,Bank of China,Agricultural Bank of China,Bank of Communications,aggregate_market_leverage
2024-12-31,,,,,,,,,,,,,38.157189,40.498740,56.598964,76.817426,,,,,,,,25.108217,22.939757,,,25.362956,29.938936
2025-01-02,,,,,,,,,,,,,38.292991,40.478742,56.390571,77.041406,,,,,,,,26.947400,24.574341,,,26.190824,31.447113
2025-01-03,,,,,,,,,,,,,38.142160,40.991715,56.914508,78.632471,,,,,,,,26.735151,24.613435,,,25.908686,31.382390
2025-01-06,,,,,,,,,,,,,37.587247,39.965775,56.307653,76.290722,,,,,,,,26.735151,24.613435,,,25.789695,31.233035
2025-01-07,,,,,,,,,,,,,38.217423,39.727076,56.204349,77.139814,,,,,,,,26.630324,24.652661,,,25.868895,31.256899
2025-01-08,,,,,,,,,,,,,37.460145,39.894504,56.307653,75.649314,,,,,,,,26.474673,24.613435,,,25.988650,31.151346
2025-01-10,,,,,,,,,,,,,36.837655,40.412224,56.245625,76.553158,,,,,,,,26.840840,25.092897,,,26.354933,31.545698
2025-01-13,,,,,,,,,,,,,37.190735,40.220581,56.060375,76.608637,,,,,,,,26.947400,25.215819,,,26.521195,31.629476
2025-01-14,,,,,,,,,,,,,36.925278,39.465966,55.132619,74.899203,,,,,,,,26.787886,24.850758,,,26.479425,31.298400
2025-01-15,,,,,,,,,,,,,35.769140,38.679049,54.293202,72.699210,,,,,,,,26.526347,24.613435,,,26.272612,30.923532
2025-01-16,,,,,,,,,,,,,35.426988,38.600313,54.025490,72.699210,,,,,,,,26.168977,24.304258,,,26.903375,30.701779
2025-01-17,,,,,,,,,,,,,35.123174,38.582188,53.854811,72.649314,,,,,,,,26.578229,24.652661,,,27.120686,31.012161
2025-01-21,,,,,,,,,,,,,35.028343,38.064101,53.146099,71.231968,,,,,,,,26.018863,24.077637,,,26.647328,30.453579
2025-01-22,,,,,,,,,,,,,35.491640,38.539968,53.535389,71.231968,,,,,,,,26.270057,24.419247,,,26.903375,30.787948
2025-01-23,,,,,,,,,,,,,34.902719,37.906207,52.871550,69.674378,,,,,,,,25.627179,23.818754,,,26.521195,30.128781
2025-01-24,,,,,,,,,,,,,35.123174,37.772763,52.944479,69.491643,,,,,,,,24.970455,23.458835,,,26.354933,29.699229
2025-01-27,,,,,,,,,,,,,35.459284,37.417801,52.708204,69.016558,,,,,,,,24.566457,23.178975,,,25.750284,29.338312
2025-01-28,,,,,,,,,,,,,35.654336,37.220430,52.295400,68.162468,,,,,,,,24.789204,23.458835,,,25.750284,29.496141
2025-01-29,,,,,,,,,,,,,34.949719,37.170025,52.064977,67.500929,,,,,,,,24.789204,23.458835,,,25.750284,29.444868
2025-01-30,,,,,,,,,,,,,34.824674,36.624662,51.679714,67.308203,,,,,,,,24.789204,23.458835,,,25.750284,29.377461
2025-01-31,,,,,,,,,,,,,34.638824,36.592139,51.801666,66.894441,,,,,,,,24.789204,23.458835,,,25.750284,29.356253
2025-02-03,,,,,,,,,,,,,35.556535,37.366845,52.277602,68.503731,,,,,,,,24.834258,23.565614,,,26.028825,29.533264
2025-02-04,,,,,,,,,,,,,35.378658,35.886135,51.766762,67.694778,,,,,,,,24.347846,23.213576,,,25.750284,29.030862
2025-02-05,,,,,,,,,,,,,35.202604,36.227642,51.351633,67.673183,,,,,,,,24.478523,23.529908,,,25.750284,29.227691
2025-02-06,,,,,,,,,,,,,34.093330,35.267732,50.408909,59.910060,,,,,,,,24.347846,23.458835,,,25.593885,28.858111
2025-02-07,,,,,,,,,,,,,34.093330,34.680570,49.805166,58.041589,,,,,,,,24.391242,23.601431,,,25.710997,28.826248
2025-02-10,,,,,,,,,,,,,34.273185,34.661182,49.934451,59.392211,,,,,,,,24.175855,23.318028,,,25.632798,28.636405
2025-02-11,,,,,,,,,,,,,33.652086,34.353993,49.279008,57.339297,,,,,,,,24.048514,23.248284,,,25.477875,28.425678
2025-02-12,,,,,,,,,,,,,33.623087,33.973152,49.184560,56.110429,,,,,,,,23.472302,22.639669,,,24.987564,27.868470
2025-02-13,,,,,,,,,,,,,33.915409,34.368267,49.676562,57.063199,,,,,,,,23.352555,22.805362,,,24.987564,27.967142
2025-02-14,,,,,,,,,,,,,33.710237,34.439822,49.358000,56.767131,,,,,,,,23.078051,22.508916,,,24.877191,27.734744
2025-02-18,,,,,,,,,,,,,33.264907,33.903581,48.472551,55.189507,,,,,,,,23.116852,22.125968,,,24.445676,27.441665
2025-02-19,,,,,,,,,,,,,33.222453,34.273334,48.702404,55.533934,,,,,,,,23.472302,22.157358,,,24.695477,27.659472
2025-02-20,,,,,,,,,,,,,33.222453,34.005720,48.610194,55.955997,,,,,,,,23.472302,22.188843,,,24.731599,27.649114
2025-02-21,,,,,,,,,,,,,32.051223,33.889699,48.244899,55.425831,,,,,,,,23.512501,22.157358,,,24.305283,27.553951
2025-02-24,,,,,,,,,,,,,32.222776,33.908208,48.275126,55.404263,,,,,,,,23.593336,22.188843,,,24.410419,27.608459
2025-02-25,,,,,,,,,,,,,31.585842,33.438156,47.989521,54.209334,,,,,,,,23.797987,22.508916,,,24.913868,27.764306
2025-02-26,,,,,,,,,,,,,30.422184,33.166054,47.355725,53.297175,,,,,,,,23.512501,22.188843,,,24.410419,27.380521
2025-02-27,,,,,,,,,,,,,30.049898,33.214784,47.210772,53.191134,,,,,,,,23.512501,22.252093,,,24.445676,27.379200
2025-02-28,,,,,,,,,,,,,29.946884,33.104247,47.153043,53.390313,,,,,,,,23.880888,22.606831,,,24.587771,27.632400
2025-03-03,,,,,,,,,,,,,29.958294,32.601129,46.809688,53.019738,,,,,,,,23.797987,22.541455,,,24.410419,27.494015
2025-03-04,,,,,,,,,,,,,30.588076,33.628196,47.766470,54.527455,,,,,,,,23.964395,22.476473,,,24.516509,27.757546
2025-03-05,,,,,,,,,,,,,30.564263,32.330235,46.387604,51.894743,,,,,,,,23.392329,22.001330,,,23.826874,27.089270
2025-03-06,,,,,,,,,,,,,30.864712,31.311203,45.566359,50.011098,,,,,,,,23.234080,21.847587,,,23.793454,26.852054
2025-03-07,,,,,,,,,,,,,31.233413,31.548720,45.579801,49.941206,,,,,,,,23.432243,22.063464,,,23.961546,27.061952
2025-03-10,,,,,,,,,,,,,32.382825,32.422829,46.331918,52.654363,,,,,,,,23.633973,22.283859,,,23.995464,27.463806
2025-03-11,,,,,,,,,,,,,33.493230,33.060245,46.852326,53.092116,,,,,,,,23.633973,22.411882,,,23.894012,27.622349
2025-03-12,,,,,,,,,,,,,32.598793,32.742643,46.597669,52.882120,,,,,,,,23.756760,22.411882,,,23.927730,27.619977
2025-03-13,,,,,,,,,,,,,32.721586,32.803064,46.738793,52.751727,,,,,,,,23.674754,22.283859,,,23.995464,27.554353
2025-03-14,,,,,,,,,,,,,32.222776,31.891646,46.220944,51.218296,,,,,,,,23.273431,21.847587,,,23.594962,27.022501
2025-03-17,,,,,,,,,,,,,32.571634,31.023300,45.660636,50.369487,,,,,,,,23.273431,21.786719,,,23.464544,26.875493
2025-03-18,,,,,,,,,,,,,31.459035,30.162392,44.982754,49.174086,,,,,,,,23.116852,21.458192,,,23.050891,26.473753
2025-03-19,,,,,,,,,,,,,31.752278,29.927967,44.516505,49.033621,,,,,,,,23.194865,21.399573,,,23.050891,26.449737
2025-03-20,,,,,,,,,,,,,32.423093,30.590327,44.852238,49.680882,,,,,,,,23.432243,21.636090,,,23.208172,26.760005
2025-03-21,,,,,,,,,,,,,32.707895,30.341638,44.969665,49.623408,,,,,,,,23.593336,21.726204,,,23.208172,26.826897
2025-03-24,,,,,,,,,,,,,32.183019,30.448765,44.852238,49.044826,,,,,,,,23.194865,21.399573,,,22.926661,26.493251
2025-03-25,,,,,,,,,,,,,31.662434,29.672657,43.723922,47.901294,,,,,,,,23.512501,21.726204,,,23.113535,26.571152
2025-03-26,,,,,,,,,,,,,31.946585,30.093475,44.122861,47.917323,,,,,,,,23.593336,21.878155,,,23.208172,26.737470
2025-03-27,,,,,,,,,,,,,32.625998,30.360054,44.236409,48.496282,,,,,,,,23.715684,22.094670,,,23.303623,26.931300
2025-03-28,,,,,,,,,,,,,33.067740,30.778681,44.606388,49.406235,,,,,,,,23.922567,22.252093,,,23.432174,27.193819
2025-03-31,7.095440,11.312135,20.484038,11.187919,7.485557,9.053225,7.906295,14.963504,,,20.108403,40.124799,34.188558,32.536821,44.536450,50.107252,33.023946,20.955238,20.630921,17.533456,18.311789,21.155321,28.647198,25.062318,22.894403,22.943704,26.447935,23.963733,17.898396
2025-04-01,7.136466,11.371785,20.608333,11.147795,7.537670,9.107433,7.914540,15.075124,,,20.036518,39.312749,33.985924,31.901989,43.934975,50.065761,32.405056,20.774966,20.236627,17.576642,18.459382,21.429872,28.660854,25.193327,22.799348,23.180167,26.393674,23.767462,17.921395
2025-04-02,7.082546,11.282566,20.274969,10.883784,7.344177,9.000844,7.877594,14.954153,,,19.911477,38.944791,33.814197,32.196103,43.871966,50.921383,32.229609,20.740169,20.148801,17.589021,18.730587,21.779528,28.922911,25.105829,22.736435,22.990593,26.285845,23.574518,17.804853
2025-04-03,7.538158,12.561670,22.937698,11.886603,8.010747,9.803731,8.248542,16.092991,,,21.751626,42.565585,38.856218,33.910409,45.342682,53.690838,34.545967,21.818530,21.198139,19.095886,20.097096,23.510136,31.335536,25.414879,22.799348,23.276185,26.834345,23.832512,18.972821
2025-04-04,8.110574,13.513096,24.794457,12.821241,8.579585,10.480830,8.901119,17.395443,,,22.972150,46.031460,40.443432,36.321059,47.413979,59.837726,38.180083,23.518800,23.139277,20.099483,21.865452,25.476622,35.177234,25.414879,22.799348,23.276185,26.834345,23.832512,20.055567
2025-04-07,7.972633,13.094585,24.503345,12.955829,8.497720,10.299357,8.817938,17.384698,,,23.633280,47.558265,41.352499,37.694358,49.126783,60.886541,39.665476,24.454510,24.199159,20.683385,24.279175,27.656018,39.290187,27.449452,24.986224,25.919121,29.423945,25.856545,20.684507
2025-04-08,7.894506,13.284481,24.535338,13.040929,8.543315,10.312838,8.880694,17.595679,,,23.713321,45.322443,41.982188,37.644462,49.142646,58.940394,38.152407,23.924312,23.099053,20.273492,21.997592,25.038165,34.734577,27.607831,25.217604,25.799029,29.491947,25.702873,20.448780
2025-04-09,7.380522,12.583455,22.561525,11.767811,7.774127,9.716131,8.299698,16.186498,,,24.413956,47.596801,44.034095,39.029117,49.769544,60.154514,39.928271,24.774485,23.671611,21.257819,23.174527,26.269059,36.230826,27.661048,25.573163,25.739418,29.022667,25.475892,19.950465
2025-04-10,7.583644,13.003498,23.457734,12.362920,8.099549,10.160846,8.560775,16.824715,,,23.759757,44.266539,42.160604,37.077598,48.780435,57.194339,37.329548,24.021337,22.482371,20.399738,21.347169,24.747110,33.662233,27.189633,25.256601,25.445599,28.441550,25.034223,19.940576
2025-04-11,7.330277,12.970107,23.439517,12.256286,7.998427,10.248776,8.457590,16.743010,,,23.459763,44.652321,41.104308,37.968404,48.392858,55.830028,37.194059,23.715435,22.766856,20.484824,22.169965,25.939499,35.546205,26.488573,24.281839,24.768124,27.884049,25.513433,19.785748
2025-04-14,7.370192,12.735080,22.878706,12.043212,7.934927,10.162298,8.472021,16.451149,,,22.661478,42.642444,39.223531,36.408716,47.355058,53.958548,35.396381,23.204029,21.978474,19.936658,22.137831,25.515847,35.021506,26.057375,23.823257,24.179273,27.407168,25.216301,19.504610
2025-04-15,7.413638,12.327332,22.501194,11.958196,7.851412,9.957871,8.448001,16.358139,,,22.313125,41.329929,37.895963,35.365216,46.361734,51.460506,34.529870,22.807480,21.251946,20.148878,21.673401,24.739740,34.165175,26.057375,23.719983,24.075330,27.290580,24.890520,19.295009
2025-04-16,7.511961,12.527601,23.273299,12.152306,8.015297,10.036277,8.648633,16.699517,,,22.199484,41.504017,38.131431,34.885121,45.873976,51.813728,34.570141,22.738811,21.188081,20.349042,22.202197,25.367455,34.969911,26.295112,23.997479,24.443275,27.584003,25.326876,19.527432
2025-04-17,7.445988,12.502950,22.868329,11.923783,7.930481,9.934338,8.587517,16.384598,,,22.164555,41.606265,38.204488,35.287491,45.846420,52.443918,34.797462,22.786304,21.470076,20.323792,21.722623,24.821066,33.882794,25.916867,23.583732,24.179273,27.407168,25.106724,19.371660
2025-04-21,7.529592,12.655617,23.063676,12.100922,8.118249,10.032041,8.823217,16.504807,,,22.164555,41.606265,38.204488,35.287491,45.846420,52.443918,34.797462,22.786304,21.470076,20.323792,22.061105,25.190209,34.096571,25.916867,23.583732,24.179273,27.407168,25.106724,19.513761
2025-04-22,7.346668,12.229785,22.427913,11.703203,7.855136,9.729291,8.590500,15.911171,,,21.865718,41.214703,37.986173,34.866196,45.477706,51.298172,34.266485,22.512148,21.094695,20.157136,22.319049,25.336444,34.704122,25.824067,23.349184,24.933946,26.778428,24.783867,19.217670
2025-04-23,7.207287,12.105171,21.862319,11.514742,7.737334,9.509582,8.451833,15.618248,,,20.757257,39.332312,35.775505,33.856909,44.758174,49.521107,32.834281,21.610560,20.245757,19.350021,21.630523,24.902951,34.125938,25.686155,23.119456,24.768124,26.447935,24.748526,18.788159
2025-04-24,7.111884,11.872293,21.293013,11.205105,7.545588,9.311400,8.358117,15.276036,,,20.993814,39.881618,35.911365,34.580187,44.758174,49.521107,32.661192,22.571609,20.448862,19.155047,21.223065,24.491843,33.425824,25.504639,23.022440,24.768124,26.072912,24.678160,18.591720
2025-04-25,7.139238,11.842161,21.212945,11.214658,7.522454,9.291137,8.364666,15.307079,,,21.022582,39.450116,35.663943,34.312692,44.265638,48.478371,32.069920,22.272502,19.957792,18.920692,21.065710,24.242006,33.091346,25.370246,23.087022,24.713357,26.285845,24.748526,18.557302
2025-04-28,7.147568,11.817632,21.257350,11.185868,7.532590,9.326962,8.340400,15.276036,,,21.029787,39.156952,36.344264,33.732754,43.646653,47.919417,32.173878,22.159657,19.612577,18.791510,20.646731,23.785059,32.548957,25.149500,22.926273,24.336956,25.606680,24.400818,18.436271
2025-04-29,7.112384,11.760824,21.080893,11.139107,7.511229,9.131378,8.236769,15.121230,,,20.517104,38.785627,35.505805,33.426430,43.337620,47.246851,30.677744,21.808875,19.907693,18.791510,20.646731,23.785059,32.548957,25.325773,23.184609,24.604580,25.657626,24.469542,18.379127
2025-04-30,7.112384,11.790505,21.227726,11.164475,7.555796,9.141684,8.203469,15.190154,10.174645,14.318176,21.070714,38.938400,36.147177,33.649038,45.288899,45.573447,31.407420,22.099960,20.675378,18.848694,20.303580,23.496895,32.284580,26.057375,24.610265,24.713357,26.125810,24.504056,18.098331
