Bank,Period,Source_URL,Local_File
Agricultural Bank of China,2006-Q4,https://www.abchina.com/en/investor-relations/performance-reports/annual-reports/201603/P020160316618006791806.zip,Agricultural Bank of China_2006-Q4.pdf
Agricultural Bank of China,2007-Q4,https://www.abchina.com/en/investor-relations/performance-reports/annual-reports/201603/P020160316618011638898.zip,Agricultural Bank of China_2007-Q4.pdf
Agricultural Bank of China,2008-Q4,https://www.abchina.com/en/investor-relations/performance-reports/annual-reports/201603/P020160316618022267184.zip,Agricultural Bank of China_2008-Q4.pdf
Agricultural Bank of China,2009-Q4,https://www.abchina.com/en/investor-relations/performance-reports/annual-reports/201603/P020160316618037575615.zip,Agricultural Bank of China_2009-Q4.pdf
Agricultural Bank of China,2010-Q2,https://www.abchina.com/en/investor-relations/performance-reports/interim-reports/intrp/201603/W020160316628024780884.pdf,Agricultural Bank of China_2010-Q2.pdf
Agricultural Bank of China,2010-Q3,https://www.abchina.com/en/investor-relations/performance-reports/quarterly-reports/qurep/201603/W020160316628384893520.pdf,Agricultural Bank of China_2010-Q3.pdf
Agricultural Bank of China,2010-Q4,https://www.abchina.com/en/investor-relations/performance-reports/annual-reports/201603/P020160316618053818599.zip,Agricultural Bank of China_2010-Q4.pdf
Agricultural Bank of China,2011-Q1,https://www.abchina.com/en/investor-relations/performance-reports/quarterly-reports/qurep/201603/W020160316628390674785.pdf,Agricultural Bank of China_2011-Q1.pdf
Agricultural Bank of China,2011-Q2,https://www.abchina.com/en/investor-relations/performance-reports/interim-reports/intrp/201603/W020160316628058229590.pdf,Agricultural Bank of China_2011-Q2.pdf
Agricultural Bank of China,2011-Q3,https://www.abchina.com/en/investor-relations/performance-reports/quarterly-reports/qurep/201603/W020160316628396308073.pdf,Agricultural Bank of China_2011-Q3.pdf
Agricultural Bank of China,2011-Q4,https://www.abchina.com/en/investor-relations/performance-reports/annual-reports/201603/P020160316618068655280.zip,Agricultural Bank of China_2011-Q4.pdf
Agricultural Bank of China,2012-Q1,https://www.abchina.com/en/investor-relations/performance-reports/quarterly-reports/qurep/201603/W020160316628402230041.pdf,Agricultural Bank of China_2012-Q1.pdf
