bank,ticker,period_end,total_assets,book_equity,currency,statement_frequency,source_document,source_url,source_page,notes
Agricultural Bank of China,1288.HK,2021-12-31,29069155000000,2414605000000,CNY,annual,Official issuer filing; Agricultural Bank of China 2025 annual report; major financial data,https://www.abchina.com/en/investor-relations/performance-reports/annual-reports/202603/P020260423652699711023.pdf,10,Values reported in RMB millions; equity is attributable to equity holders of the Bank; converted to units.
Agricultural Bank of China,1288.HK,2022-12-31,33925488000000,2668063000000,CNY,annual,Official issuer filing; Agricultural Bank of China 2025 annual report; major financial data,https://www.abchina.com/en/investor-relations/performance-reports/annual-reports/202603/P020260423652699711023.pdf,10,Values reported in RMB millions; equity is attributable to equity holders of the Bank; converted to units.
Agricultural Bank of China,1288.HK,2023-12-31,39872989000000,2889248000000,CNY,annual,Official issuer filing; Agricultural Bank of China 2025 annual report; major financial data,https://www.abchina.com/en/investor-relations/performance-reports/annual-reports/202603/P020260423652699711023.pdf,10,Values reported in RMB millions; equity is attributable to equity holders of the Bank; converted to units.
Agricultural Bank of China,1288.HK,2024-12-31,43238135000000,3090808000000,CNY,annual,Official issuer filing; Agricultural Bank of China 2025 annual report; major financial data,https://www.abchina.com/en/investor-relations/performance-reports/annual-reports/202603/P020260423652699711023.pdf,10,Values reported in RMB millions; equity is attributable to equity holders of the Bank; converted to units.
Agricultural Bank of China,1288.HK,2025-12-31,48784674000000,3237182000000,CNY,annual,Official issuer filing; Agricultural Bank of China 2025 annual report; major financial data,https://www.abchina.com/en/investor-relations/performance-reports/annual-reports/202603/P020260423652699711023.pdf,10,Values reported in RMB millions; equity is attributable to equity holders of the Bank; converted to units.
Banco Santander,SAN,2015-12-31,1340260000000,98753000000,EUR,annual,SEC Company Facts; assets=ifrs-full:Assets; equity=ifrs-full:Equity,https://data.sec.gov/api/xbrl/companyfacts/CIK0000891478.json,,form=20-F; filed=2018-03-28
Banco Santander,SAN,2016-12-31,1339125000000,102699000000,EUR,annual,SEC Company Facts; assets=ifrs-full:Assets; equity=ifrs-full:Equity,https://data.sec.gov/api/xbrl/companyfacts/CIK0000891478.json,,form=6-K; filed=2019-07-08
Banco Santander,SAN,2017-12-31,1444305000000,106833000000,EUR,annual,SEC Company Facts; assets=ifrs-full:Assets; equity=ifrs-full:Equity,https://data.sec.gov/api/xbrl/companyfacts/CIK0000891478.json,,form=20-F; filed=2020-03-06
Banco Santander,SAN,2018-01-01,1443069000000,105493000000,EUR,annual,SEC Company Facts; assets=ifrs-full:Assets; equity=ifrs-full:Equity,https://data.sec.gov/api/xbrl/companyfacts/CIK0000891478.json,,form=20-F; filed=2020-03-06
Banco Santander,SAN,2018-01-02,1443069000000,105362000000,EUR,annual,SEC Company Facts; assets=ifrs-full:Assets; equity=ifrs-full:Equity,https://data.sec.gov/api/xbrl/companyfacts/CIK0000891478.json,,form=6-K; filed=2019-07-08
Banco Santander,SAN,2018-06-30,1433833000000,104445000000,EUR,quarterly_or_interim,SEC Company Facts; assets=ifrs-full:Assets; equity=ifrs-full:Equity,https://data.sec.gov/api/xbrl/companyfacts/CIK0000891478.json,,form=6-K; filed=2018-09-28
Banco Santander,SAN,2018-12-31,1459271000000,106970000000,EUR,annual,SEC Company Facts; assets=ifrs-full:Assets; equity=ifrs-full:Equity,https://data.sec.gov/api/xbrl/companyfacts/CIK0000891478.json,,form=6-K; filed=2021-04-14
Banco Santander,SAN,2019-06-30,1512096000000,109985000000,EUR,quarterly_or_interim,SEC Company Facts; assets=ifrs-full:Assets; equity=ifrs-full:Equity,https://data.sec.gov/api/xbrl/companyfacts/CIK0000891478.json,,form=6-K; filed=2019-08-01
Banco Santander,SAN,2019-12-31,1522695000000,110659000000,EUR,annual,SEC Company Facts; assets=ifrs-full:Assets; equity=ifrs-full:Equity,https://data.sec.gov/api/xbrl/companyfacts/CIK0000891478.json,,form=6-K; filed=2022-04-08
Banco Santander,SAN,2020-06-30,1572881000000,91859000000,EUR,quarterly_or_interim,SEC Company Facts; assets=ifrs-full:Assets; equity=ifrs-full:Equity,https://data.sec.gov/api/xbrl/companyfacts/CIK0000891478.json,,form=6-K; filed=2020-07-31
Banco Santander,SAN,2020-12-31,1508250000000,91322000000,EUR,annual,SEC Company Facts; assets=ifrs-full:Assets; equity=ifrs-full:Equity,https://data.sec.gov/api/xbrl/companyfacts/CIK0000891478.json,,form=20-F; filed=2023-03-01
