bank,ticker,cik,sec_scope,notes
JPMorgan Chase,JPM,0000019617,US domestic 10-K/10-Q filer,rows=69; assets=us-gaap:Assets; equity=us-gaap:StockholdersEquity; unit=USD
Bank of America,BAC,0000070858,US domestic 10-K/10-Q filer,rows=68; assets=us-gaap:Assets; equity=us-gaap:StockholdersEquity; unit=USD
Citigroup,C,0000831001,US domestic 10-K/10-Q filer,rows=67; assets=us-gaap:Assets; equity=us-gaap:StockholdersEquity; unit=USD
Goldman Sachs,GS,0000886982,US domestic 10-K/10-Q filer,rows=70; assets=us-gaap:Assets; equity=us-gaap:StockholdersEquity; unit=USD
Morgan Stanley,MS,0000895421,US domestic 10-K/10-Q filer,rows=70; assets=us-gaap:Assets; equity=us-gaap:StockholdersEquity; unit=USD
Wells Fargo,WFC,0000072971,US domestic 10-K/10-Q filer,rows=69; assets=us-gaap:Assets; equity=us-gaap:StockholdersEquity; unit=USD
Bank of New York Mellon,BK,0001390777,US domestic 10-K/10-Q filer,rows=69; assets=us-gaap:Assets; equity=us-gaap:StockholdersEquity; unit=USD
State Street,STT,0000093751,US domestic 10-K/10-Q filer,rows=69; assets=us-gaap:Assets; equity=us-gaap:StockholdersEquity; unit=USD
Royal Bank of Canada,RY,0001000275,Canadian SEC registrant / 40-F,rows=31; assets=ifrs-full:Assets; equity=ifrs-full:Equity; unit=CAD
Toronto-Dominion Bank,TD,0000947263,Canadian SEC registrant / 40-F,rows=35; assets=ifrs-full:Assets; equity=ifrs-full:Equity; unit=CAD
HSBC,HSBC,0001089113,Foreign private issuer / 20-F,rows=19; assets=ifrs-full:Assets; equity=ifrs-full:Equity; unit=USD
Barclays,BCS,0000312069,Foreign private issuer / 20-F,rows=20; assets=ifrs-full:Assets; equity=ifrs-full:Equity; unit=GBP
Deutsche Bank,DB,0001159508,Foreign private issuer / 20-F,rows=19; assets=ifrs-full:Assets; equity=ifrs-full:Equity; unit=EUR
ING Groep,ING,0001039765,Foreign private issuer / 20-F,rows=17; assets=ifrs-full:Assets; equity=ifrs-full:Equity; unit=EUR
Banco Santander,SAN,0000891478,Foreign private issuer / 20-F,rows=21; assets=ifrs-full:Assets; equity=ifrs-full:Equity; unit=EUR
UBS Group,UBS,0001610520,Foreign private issuer / 20-F,rows=25; assets=ifrs-full:Assets; equity=ifrs-full:Equity; unit=USD
Mitsubishi UFJ Financial Group,MUFG,0000067088,Foreign private issuer / 20-F,rows=30; assets=us-gaap:Assets; equity=us-gaap:StockholdersEquity; unit=JPY
Sumitomo Mitsui Financial Group,SMFG,0001022837,Foreign private issuer / 20-F,rows=17; assets=ifrs-full:Assets; equity=ifrs-full:Equity; unit=JPY
Mizuho Financial Group,MFG,0001335730,Foreign private issuer / 20-F,rows=26; assets=us-gaap:Assets; equity=us-gaap:StockholdersEquity; unit=JPY
